iata;icao;name;runways;longest;elevation;country;region;city;lat;lon
ATL;KATL;Hartsfield - Jackson Atlanta International Airport;5;12390;1026;US;US-GA;Atlanta;33.6366996765137;-84.4281005859375
ANC;PANC;Anchorage Ted Stevens;3;12400;151;US;US-AK;Anchorage;61.1744003295898;-149.996002197266
AUS;KAUS;Austin Bergstrom International Airport;2;12250;542;US;US-TX;Austin;30.1944999694824;-97.6698989868164
BNA;KBNA;Nashville International Airport;4;11030;599;US;US-TN;Nashville;36.1245002746582;-86.6781997680664
BOS;KBOS;Boston Logan;6;10083;19;US;US-MA;Boston;42.36429977;-71.00520325
BWI;KBWI;Baltimore/Washington International Airport;3;10502;143;US;US-MD;Baltimore;39.17539978;-76.66829681
DCA;KDCA;Ronald Reagan Washington National Airport;3;7169;14;US;US-DC;Washington D.C.;38.8521003723145;-77.0376968383789
DFW;KDFW;Dallas/Fort Worth International Airport;7;13401;607;US;US-TX;Dallas;32.896800994873;-97.0380020141602
FLL;KFLL;Fort Lauderdale/Hollywood International Airport;2;9000;64;US;US-FL;Fort Lauderdale;26.0725994110107;-80.152702331543
IAD;KIAD;Washington Dulles International Airport;4;11500;313;US;US-VA;Washington D.C.;38.94449997;-77.45580292
IAH;KIAH;George Bush Intercontinental;5;12001;96;US;US-TX;Houston;29.9843997955322;-95.3414001464844
JFK;KJFK;New York John F. Kennedy International Airport;4;14511;12;US;US-NY;New York;40.63980103;-73.77890015
LAX;KLAX;Los Angeles International Airport;4;12091;127;US;US-CA;Los Angeles;33.94250107;-118.4079971
LGA;KLGA;New York La Guardia;2;7003;20;US;US-NY;New York;40.77719879;-73.87259674
MCO;KMCO;Orlando International Airport;4;12005;96;US;US-FL;Orlando;28.4293994903564;-81.3089981079102
MIA;KMIA;Miami International Airport;4;13016;8;US;US-FL;Miami;25.7931995391846;-80.2906036376953
MSP;KMSP;Minneapolis-St.Paul International Airport;4;11006;841;US;US-MN;Minneapolis;44.8819999695;-93.2218017578
ORD;KORD;Chicago O'Hare International Airport;7;13000;672;US;US-IL;Chicago;41.97859955;-87.90480042
PBI;KPBI;Palm Beach International Airport;3;10000;19;US;US-FL;West Palm Beach;26.6832008361816;-80.0955963134766
PHX;KPHX;Phoenix Sky Harbor International Airport;3;11489;1135;US;US-AZ;Phoenix;33.4342994689941;-112.012001037598
RDU;KRDU;Raleigh-Durham;3;10000;435;US;US-NC;Raleigh;35.8776016235352;-78.7874984741211
SEA;KSEA;Seattle-Tacoma;3;11901;432;US;US-WA;Seattle;47.4490013122559;-122.30899810791
SFO;KSFO;San Francisco International Airport;4;11870;13;US;US-CA;San Francisco;37.6189994812012;-122.375
SJC;KSJC;Norman Y. Mineta San Jose International Airport;3;11000;62;US;US-CA;San Jose;37.3625984191895;-121.929000854492
TPA;KTPA;Tampa International Airport;3;11002;26;US;US-FL;Tampa;27.9755001068115;-82.533203125
SAN;KSAN;San Diego Lindbergh;1;9400;16;US;US-CA;San Diego;32.7336006165;-117.190002441
LGB;KLGB;Long Beach Airport;3;10003;60;US;US-CA;Long Beach;33.81769943;-118.1520004
SNA;KSNA;Orange County/Santa Ana, John Wayne;2;5701;56;US;US-CA;Santa Ana;33.67570114;-117.8679962
SLC;KSLC;Salt Lake City;4;12002;56;US;US-UT;Salt Lake City;40.7883987426758;-111.977996826172
LAS;KLAS;Las Vegas Mc Carran;4;14512;2181;US;US-NV;Las Vegas;36.08010101;-115.1520004
