Country;Capital;Area (km2);Population (millions);Region
Albania;Tirana;28748;3.2;Southern
Andorra;Andorra la Vella;468;0.07;Western
Austria;Vienna;83857;7.6;Western
Belgium;Brussels;30519;10;Western
Bosnia and Herzegovina;Sarajevo;51130;4.5;Southern
Bulgaria;Sofia;110912;9;Southern
Czech Republic;Prague;78864;10.4;Central
Denmark;Copenhagen;43077;5.1;Northern
United Kingdom;London;244100;57.2;Western
Estonia;Tallin;45100;1.6;Northern
Belarus;Minsk;207600;10.3;Northern
Finland;Helsinki;338145;4.9;Northern
France;Paris;543965;56.2;Western
Greece;Athens;131957;10;Southern
Netherlands;Hague;33933;14.8;Western
Croatia;Zagreb;56500;4.7;Southern
Ireland;Dublin;70283;3.5;Western
Iceland;Reykjavik;103000;0.3;Northern
Kosovo;Prishtina;10887;2.2;Southern
Poland;Warsaw;312683;37.8;Central
Latvia;Riga;63700;2.6;Northern
Liechtenstein;Vaduz;160;0.03;Central
Lithuania;Vilnius;65200;3.6;Northern
Luxembourg;luxembourg;2586;0.4;Western
Macedonia;Skopje;25713;2.1;Southern
Hungary;Budapest;93036;10.4;Central
Malta;Valletta;316;0.3;Southern
Moldova;Chisinau;33700;4.4;Eastern
Monaco;Monaco;2;0.03;Southern
Montenegro;Podgorica;13812;0.6;Southern
Germany;Berlin;357042;78.6;Western
Norway;Oslo;323877;4.2;Northern
Italy;Rome;301277;57.5;Southern
Portugal;Lisbon;92389;10.5;Southern
Romania;Bucharest;237500;23.2;Eastern
San Marino;San Marino;61;0.03;Southern
Spain;Madrid;504782;38.8;Southern
Switzerland;Berne;41293;6.7;Western
Sweden;Stockholm;449964;8.5;Northern
Serbia;Belgrade;66577;7.2;Southern
Slovakia;Bratislava;49035;5.3;Central
Slovenia;Ljubljana;20250;2;Southern
Ukraine;Kiev;603700;51.8;Eastern
